pixel_id,easting,northing,elevation,aspect
1,359856.500,171181.500,-9999,-9999
2,359857.500,171181.500,-9999,-9999
3,359858.500,171181.500,-9999,350.181
4,359859.500,171181.500,34.896,21.9218
5,359860.500,171181.500,34.116,354.783
6,359861.500,171181.500,35.076,335.729
7,359862.500,171181.500,35.106,35.5668
8,359863.500,171181.500,34.766,86.949
9,359864.500,171181.500,32.666,96.7231
10,359865.500,171181.500,31.976,97.7086
11,359866.500,171181.500,29.006,94.9279
12,359867.500,171181.500,-9999,211.607
13,359856.500,171180.500,34.906,282.155
14,359857.500,171180.500,35.236,314.667
15,359858.500,171180.500,35.296,343.791
16,359859.500,171180.500,35.416,359.769
17,359860.500,171180.500,35.536,355.517
18,359861.500,171180.500,35.586,357.822
19,359862.500,171180.500,35.416,52.8376
20,359863.500,171180.500,34.876,99.6261
21,359864.500,171180.500,32.416,121.417
22,359865.500,171180.500,31.676,125.808
23,359866.500,171180.500,28.876,106.232
24,359867.500,171180.500,28.956,222.51
25,359856.500,171179.500,34.896,271.238
26,359857.500,171179.500,35.536,285.081
27,359858.500,171179.500,35.846,316.414
28,359859.500,171179.500,36.076,336.905
29,359860.500,171179.500,36.166,2.4895
30,359861.500,171179.500,36.046,41.3955
31,359862.500,171179.500,35.586,72.1672
32,359863.500,171179.500,34.966,80.6934
33,359864.500,171179.500,29.286,85.2841
34,359865.500,171179.500,29.716,108.775
35,359866.500,171179.500,28.826,122.385
36,359867.500,171179.500,28.886,274.086
37,359856.500,171178.500,34.856,275.194
38,359857.500,171178.500,35.406,273.196
39,359858.500,171178.500,35.906,279.974
40,359859.500,171178.500,36.516,303.325
41,359860.500,171178.500,36.736,12.4499
42,359861.500,171178.500,36.226,62.6797
43,359862.500,171178.500,35.636,77.1482
44,359863.500,171178.500,35.086,58.8467
45,359864.500,171178.500,34.516,59.1
46,359865.500,171178.500,28.906,55.544
47,359866.500,171178.500,28.886,10.4749
48,359867.500,171178.500,28.966,351.11
49,359856.500,171177.500,35.056,270
50,359857.500,171177.500,35.516,274.379
51,359858.500,171177.500,35.946,295.201
52,359859.500,171177.500,36.566,320.338
53,359860.500,171177.500,37.236,30.2651
54,359861.500,171177.500,36.496,73.1278
55,359862.500,171177.500,35.796,77.3475
56,359863.500,171177.500,35.166,77.7352
57,359864.500,171177.500,34.576,74.4217
58,359865.500,171177.500,31.606,44.0318
59,359866.500,171177.500,30.556,6.75359
60,359867.500,171177.500,30.946,351.315
61,359856.500,171176.500,34.966,240.461
62,359857.500,171176.500,35.186,269.164
63,359858.500,171176.500,36.576,309.663
64,359859.500,171176.500,38.436,337.006
65,359860.500,171176.500,37.726,64.9908
66,359861.500,171176.500,36.456,88.6305
67,359862.500,171176.500,35.936,75.0889
68,359863.500,171176.500,35.356,72.2904
69,359864.500,171176.500,-9999,-9999
70,359865.500,171176.500,-9999,-9999
71,359866.500,171176.500,-9999,-9999
72,359867.500,171176.500,-9999,-9999
