pixel_id,easting,northing,elevation,aspect
429519,402924.29308015323,200383.84932041288,121.92,338.8
429521,402926.29308015323,200383.84932041288,121.96,15.14
429522,402927.29308015323,200383.84932041288,121.66,68.75
429775,402924.29308015323,200382.84932041288,122.05,322.39
429776,402925.29308015323,200382.84932041288,122.1,2.68
429777,402926.29308015323,200382.84932041288,122.06,85.52
430030,402923.29308015323,200381.84932041288,122.2,321.34
430031,402924.29308015323,200381.84932041288,122.16,6.01
430032,402925.29308015323,200381.84932041288,122.15,49.51
430033,402926.29308015323,200381.84932041288,122.04,47.87
430034,402927.29308015323,200381.84932041288,121.93,16.02
430035,402928.29308015323,200381.84932041288,121.82,61.32
430278,402923.29308015323,200380.84932041288,122.27,342.38
430279,402924.29308015323,200380.84932041288,122.25,46.19
430280,402925.29308015323,200380.84932041288,122.17,71.56
430281,402926.29308015323,200380.84932041288,122.07,71.57
430282,402927.29308015323,200380.84932041288,122.01,121.8
430534,402922.29308015323,200379.84932041288,122.34,342.86
430535,402923.29308015323,200379.84932041288,122.4,16.39
430536,402924.29308015323,200379.84932041288,122.29,68.96
430537,402925.29308015323,200379.84932041288,122.16,73.52
430538,402926.29308015323,200379.84932041288,122.11,76.75
430539,402927.29308015323,200379.84932041288,122.01,86.07
430541,402929.29308015323,200379.84932041288,121.79,43.04
430783,402920.29308015323,200378.84932041288,122.43,343.49
430784,402921.29308015323,200378.84932041288,122.45,349.12
430785,402922.29308015323,200378.84932041288,122.49,4.27
430786,402923.29308015323,200378.84932041288,122.42,63.82
430787,402924.29308015323,200378.84932041288,122.3,70.26
430788,402925.29308015323,200378.84932041288,122.22,59.54
430789,402926.29308015323,200378.84932041288,122.13,69.96
430790,402927.29308015323,200378.84932041288,122.0,96.73
430791,402928.29308015323,200378.84932041288,121.96,140.09
430792,402929.29308015323,200378.84932041288,121.76,138.06
431039,402920.29308015323,200377.84932041288,122.52,342.2
431040,402921.29308015323,200377.84932041288,122.56,4.5
431041,402922.29308015323,200377.84932041288,122.51,47.2
431042,402923.29308015323,200377.84932041288,122.43,75.62
431043,402924.29308015323,200377.84932041288,122.35,79.02
431044,402925.29308015323,200377.84932041288,122.29,75.96
431045,402926.29308015323,200377.84932041288,122.19,79.38
431046,402927.29308015323,200377.84932041288,122.03,92.51
431285,402919.29308015323,200376.84932041288,122.65,335.16
431286,402920.29308015323,200376.84932041288,122.7,348.69
431287,402921.29308015323,200376.84932041288,122.71,25.28
431288,402922.29308015323,200376.84932041288,122.59,54.87
431289,402923.29308015323,200376.84932041288,122.46,64.92
431290,402924.29308015323,200376.84932041288,122.32,71.11
431291,402925.29308015323,200376.84932041288,122.27,79.7
431292,402926.29308015323,200376.84932041288,122.17,78.94
431293,402927.29308015323,200376.84932041288,122.05,53.39
431526,402919.29308015323,200375.84932041288,122.74,340.87
431527,402920.29308015323,200375.84932041288,122.78,17.24
431528,402921.29308015323,200375.84932041288,122.71,67.31
431529,402922.29308015323,200375.84932041288,122.67,80.53
431530,402923.29308015323,200375.84932041288,122.53,81.71
431531,402924.29308015323,200375.84932041288,122.43,78.42
431532,402925.29308015323,200375.84932041288,122.29,70.02
431533,402926.29308015323,200375.84932041288,122.23,59.8
431534,402927.29308015323,200375.84932041288,122.12,46.78
431535,402928.29308015323,200375.84932041288,122.04,37.27
431536,402929.29308015323,200375.84932041288,121.96,82.33
431761,402918.29308015323,200374.84932041288,122.88,345.97
431762,402919.29308015323,200374.84932041288,122.91,5.86
431763,402920.29308015323,200374.84932041288,122.85,60.46
431764,402921.29308015323,200374.84932041288,122.73,81.19
431765,402922.29308015323,200374.84932041288,122.63,82.7
431766,402923.29308015323,200374.84932041288,122.5,79.8
431767,402924.29308015323,200374.84932041288,122.35,74.62
431768,402925.29308015323,200374.84932041288,122.34,72.64
431769,402926.29308015323,200374.84932041288,122.24,73.39
431770,402927.29308015323,200374.84932041288,122.23,75.74
431771,402928.29308015323,200374.84932041288,122.14,82.15
431772,402929.29308015323,200374.84932041288,121.8,70.66
431989,402917.29308015323,200373.84932041288,122.96,346.76
431990,402918.29308015323,200373.84932041288,122.97,0.81
431991,402919.29308015323,200373.84932041288,122.95,47.72
431992,402920.29308015323,200373.84932041288,122.83,70.71
431993,402921.29308015323,200373.84932041288,122.74,70.2
431994,402922.29308015323,200373.84932041288,122.67,68.34
431995,402923.29308015323,200373.84932041288,122.6,68.96
431996,402924.29308015323,200373.84932041288,122.47,68.43
431997,402925.29308015323,200373.84932041288,122.36,71.08
431998,402926.29308015323,200373.84932041288,122.25,72.15
431999,402927.29308015323,200373.84932041288,122.18,82.57
432000,402928.29308015323,200373.84932041288,122.05,76.55
432001,402929.29308015323,200373.84932041288,122.04,53.55
432222,402916.29308015323,200372.84932041288,123.02,341.19
432223,402917.29308015323,200372.84932041288,123.1,356.08
432224,402918.29308015323,200372.84932041288,123.04,41.01
432225,402919.29308015323,200372.84932041288,123.0,68.7
432226,402920.29308015323,200372.84932041288,122.91,72.47
432227,402921.29308015323,200372.84932041288,122.8,67.93
432228,402922.29308015323,200372.84932041288,122.7,69.27
432229,402923.29308015323,200372.84932041288,122.58,71.56
432230,402924.29308015323,200372.84932041288,122.47,68.87
432231,402925.29308015323,200372.84932041288,122.36,62.82
432232,402926.29308015323,200372.84932041288,122.32,68.2
432233,402927.29308015323,200372.84932041288,122.24,78.69
432234,402928.29308015323,200372.84932041288,122.13,75.76
432235,402929.29308015323,200372.84932041288,122.03,57.89
432236,402930.29308015323,200372.84932041288,121.92,80.25
432458,402915.29308015323,200371.84932041288,123.18,346.52
432459,402916.29308015323,200371.84932041288,123.13,356.11
432460,402917.29308015323,200371.84932041288,123.16,15.52
432461,402918.29308015323,200371.84932041288,123.09,52.99
432462,402919.29308015323,200371.84932041288,122.97,64.72
432463,402920.29308015323,200371.84932041288,122.9,77.85
432464,402921.29308015323,200371.84932041288,122.82,84.67
432465,402922.29308015323,200371.84932041288,122.74,81.19
432466,402923.29308015323,200371.84932041288,122.66,73.85
432467,402924.29308015323,200371.84932041288,122.56,63.74
432468,402925.29308015323,200371.84932041288,122.46,59.93
432469,402926.29308015323,200371.84932041288,122.34,70.43
432470,402927.29308015323,200371.84932041288,122.18,76.61
432471,402928.29308015323,200371.84932041288,122.12,75.34
432472,402929.29308015323,200371.84932041288,122.07,79.56
432473,402930.29308015323,200371.84932041288,121.96,66.21
432698,402915.29308015323,200370.84932041288,123.28,347.59
432699,402916.29308015323,200370.84932041288,123.3,17.56
432700,402917.29308015323,200370.84932041288,123.26,48.5
432701,402918.29308015323,200370.84932041288,123.16,63.43
432702,402919.29308015323,200370.84932041288,123.09,60.18
432703,402920.29308015323,200370.84932041288,122.95,65.18
432704,402921.29308015323,200370.84932041288,122.8,66.1
432705,402922.29308015323,200370.84932041288,122.73,66.19
432706,402923.29308015323,200370.84932041288,122.63,72.95
432707,402924.29308015323,200370.84932041288,122.56,83.99
432708,402925.29308015323,200370.84932041288,122.5,93.53
432709,402926.29308015323,200370.84932041288,122.39,86.71
432710,402927.29308015323,200370.84932041288,122.28,73.3
432711,402928.29308015323,200370.84932041288,122.18,65.55
432712,402929.29308015323,200370.84932041288,122.06,65.32
432713,402930.29308015323,200370.84932041288,121.95,92.85
432933,402914.29308015323,200369.84932041288,123.35,317.81
432934,402915.29308015323,200369.84932041288,123.44,350.4
432935,402916.29308015323,200369.84932041288,123.35,46.15
432936,402917.29308015323,200369.84932041288,123.25,62.47
432937,402918.29308015323,200369.84932041288,123.15,68.2
432938,402919.29308015323,200369.84932041288,123.1,76.33
432939,402920.29308015323,200369.84932041288,123.01,79.16
432940,402921.29308015323,200369.84932041288,122.9,74.98
432941,402922.29308015323,200369.84932041288,122.82,72.55
432942,402923.29308015323,200369.84932041288,122.72,72.9
432943,402924.29308015323,200369.84932041288,122.59,74.74
432944,402925.29308015323,200369.84932041288,122.42,77.68
432945,402926.29308015323,200369.84932041288,122.34,75.96
432946,402927.29308015323,200369.84932041288,122.27,71.08
432947,402928.29308015323,200369.84932041288,122.18,65.95
432948,402929.29308015323,200369.84932041288,122.16,62.74
432949,402930.29308015323,200369.84932041288,122.06,67.83
433180,402914.29308015323,200368.84932041288,123.39,266.19
433181,402915.29308015323,200368.84932041288,123.46,314.98
433182,402916.29308015323,200368.84932041288,123.41,70.95
433183,402917.29308015323,200368.84932041288,123.35,69.18
433184,402918.29308015323,200368.84932041288,123.24,71.13
433185,402919.29308015323,200368.84932041288,123.12,77.11
433186,402920.29308015323,200368.84932041288,122.99,83.26
433187,402921.29308015323,200368.84932041288,122.87,85.91
433188,402922.29308015323,200368.84932041288,122.77,88.41
433189,402923.29308015323,200368.84932041288,122.7,90.74
433190,402924.29308015323,200368.84932041288,122.62,85.06
433191,402925.29308015323,200368.84932041288,122.55,70.25
433192,402926.29308015323,200368.84932041288,122.42,61.22
433193,402927.29308015323,200368.84932041288,122.35,62.11
433194,402928.29308015323,200368.84932041288,122.25,62.02
433195,402929.29308015323,200368.84932041288,122.14,62.35
433196,402930.29308015323,200368.84932041288,122.06,51.76
433197,402931.29308015323,200368.84932041288,121.93,63.78
433427,402914.29308015323,200367.84932041288,123.35,253.12
433428,402915.29308015323,200367.84932041288,123.46,254.05
433429,402916.29308015323,200367.84932041288,123.4,74.75
433430,402917.29308015323,200367.84932041288,123.32,71.03
433431,402918.29308015323,200367.84932041288,123.23,68.96
433432,402919.29308015323,200367.84932041288,123.14,69.66
433433,402920.29308015323,200367.84932041288,123.04,72.28
433434,402921.29308015323,200367.84932041288,122.91,69.14
433435,402922.29308015323,200367.84932041288,122.83,64.38
433436,402923.29308015323,200367.84932041288,122.71,67.84
433437,402924.29308015323,200367.84932041288,122.59,69.28
433438,402925.29308015323,200367.84932041288,122.5,66.37
433439,402926.29308015323,200367.84932041288,122.46,66.41
433440,402927.29308015323,200367.84932041288,122.34,70.2
433441,402928.29308015323,200367.84932041288,122.28,74.17
433442,402929.29308015323,200367.84932041288,122.23,77.01
433443,402930.29308015323,200367.84932041288,122.15,77.86
433444,402931.29308015323,200367.84932041288,122.03,75.32
433673,402915.29308015323,200366.84932041288,123.44,259.5
433674,402916.29308015323,200366.84932041288,123.46,53.53
433675,402917.29308015323,200366.84932041288,123.39,56.07
433676,402918.29308015323,200366.84932041288,123.33,66.63
433677,402919.29308015323,200366.84932041288,123.2,75.68
433678,402920.29308015323,200366.84932041288,123.07,72.72
433679,402921.29308015323,200366.84932041288,122.94,62.85
433680,402922.29308015323,200366.84932041288,122.87,64.03
433681,402923.29308015323,200366.84932041288,122.78,69.96
433682,402924.29308015323,200366.84932041288,122.69,59.8
