pixel_id,x,y,elevation,aspect
396981,402788.29308015323,200471.84932041288,119.68,69.6
396982,402789.29308015323,200471.84932041288,119.35,68.3
396983,402790.29308015323,200471.84932041288,118.97,54.46
396984,402791.29308015323,200471.84932041288,118.67,63.23
398804,402789.29308015323,200467.84932041288,119.91,69.53
398805,402790.29308015323,200467.84932041288,119.55,67.66
398806,402791.29308015323,200467.84932041288,119.2,65.85
398807,402792.29308015323,200467.84932041288,118.85,75.77
398793,402778.29308015323,200467.84932041288,118.98,259.19
398794,402779.29308015323,200467.84932041288,119.42,249.92
398795,402780.29308015323,200467.84932041288,119.75,247.05
398796,402781.29308015323,200467.84932041288,120.16,252.02
398797,402782.29308015323,200467.84932041288,120.52,251.09
398798,402783.29308015323,200467.84932041288,120.87,249.34
398799,402784.29308015323,200467.84932041288,121.24,251.02
399249,402778.29308015323,200466.84932041288,119.01,262.33
399250,402779.29308015323,200466.84932041288,119.33,243.58
399251,402780.29308015323,200466.84932041288,119.59,248.34
399252,402781.29308015323,200466.84932041288,120.01,248.23
399253,402782.29308015323,200466.84932041288,120.37,249.51
399254,402783.29308015323,200466.84932041288,120.7,252.87
399255,402784.29308015323,200466.84932041288,121.09,254.09
400629,402782.29308015323,200463.84932041288,119.96,252.82
400630,402783.29308015323,200463.84932041288,120.32,248.99
400631,402784.29308015323,200463.84932041288,120.69,248.37
400632,402785.29308015323,200463.84932041288,121.03,250.83
397429,402778.29308015323,200470.84932041288,119.41,338.33
398809,402794.29308015323,200467.84932041288,113.94,66.45
395631,402790.29308015323,200474.84932041288,116.42,38.43
395632,402791.29308015323,200474.84932041288,114.88,54.56
395630,402789.29308015323,200474.84932041288,118.95,7.28
396075,402787.29308015323,200473.84932041288,117.89,356.36
396078,402790.29308015323,200473.84932041288,118.08,73.46
396079,402791.29308015323,200473.84932041288,114.88,81.93
396076,402788.29308015323,200473.84932041288,119.39,331.99
396077,402789.29308015323,200473.84932041288,119.04,31.24
396074,402786.29308015323,200473.84932041288,119.57,348.07
396525,402785.29308015323,200472.84932041288,120.67,345.3
396526,402786.29308015323,200472.84932041288,120.32,355.56
396524,402784.29308015323,200472.84932041288,120.12,354.57
396531,402791.29308015323,200472.84932041288,114.8,59.29
396527,402787.29308015323,200472.84932041288,119.99,22.97
396528,402788.29308015323,200472.84932041288,119.63,18.55
396529,402789.29308015323,200472.84932041288,119.25,63.81
396530,402790.29308015323,200472.84932041288,118.81,66.83
396523,402783.29308015323,200472.84932041288,119.41,344.6
396532,402792.29308015323,200472.84932041288,113.73,44.58
396976,402783.29308015323,200471.84932041288,121.36,309.23
396977,402784.29308015323,200471.84932041288,121.2,1.16
396978,402785.29308015323,200471.84932041288,120.86,47.02
396979,402786.29308015323,200471.84932041288,120.43,72.25
396980,402787.29308015323,200471.84932041288,120.04,71.92
396975,402782.29308015323,200471.84932041288,118.55,307.6
396974,402781.29308015323,200471.84932041288,115.58,343.34
396985,402792.29308015323,200471.84932041288,115.77,72.95
397431,402780.29308015323,200470.84932041288,120.18,342.17
397432,402781.29308015323,200470.84932041288,120.58,351.44
397430,402779.29308015323,200470.84932041288,118.89,345.29
397433,402782.29308015323,200470.84932041288,120.07,318.9
397443,402792.29308015323,200470.84932041288,114.06,78.09
397435,402784.29308015323,200470.84932041288,121.28,67.02
397436,402785.29308015323,200470.84932041288,120.92,69.55
397437,402786.29308015323,200470.84932041288,120.57,69.47
397438,402787.29308015323,200470.84932041288,120.21,69.59
397439,402788.29308015323,200470.84932041288,119.88,68.01
397440,402789.29308015323,200470.84932041288,119.56,68.88
397441,402790.29308015323,200470.84932041288,119.13,71.35
397442,402791.29308015323,200470.84932041288,118.65,79.94
397434,402783.29308015323,200470.84932041288,121.27,289.98
397894,402792.29308015323,200469.84932041288,117.67,58.7
397895,402793.29308015323,200469.84932041288,113.92,56.98
397886,402784.29308015323,200469.84932041288,121.43,48.01
397887,402785.29308015323,200469.84932041288,121.12,68.39
397888,402786.29308015323,200469.84932041288,120.75,68.74
397889,402787.29308015323,200469.84932041288,120.29,70.0
397890,402788.29308015323,200469.84932041288,119.95,71.44
397891,402789.29308015323,200469.84932041288,119.63,75.41
397892,402790.29308015323,200469.84932041288,119.26,74.68
397893,402791.29308015323,200469.84932041288,118.9,59.64
397879,402777.29308015323,200469.84932041288,118.89,289.52
397880,402778.29308015323,200469.84932041288,119.25,292.86
397881,402779.29308015323,200469.84932041288,119.63,286.78
397882,402780.29308015323,200469.84932041288,120.05,267.75
397883,402781.29308015323,200469.84932041288,120.4,257.62
397884,402782.29308015323,200469.84932041288,120.78,278.5
397885,402783.29308015323,200469.84932041288,121.17,271.06
398334,402777.29308015323,200468.84932041288,118.0,241.79
398350,402793.29308015323,200468.84932041288,115.62,78.74
398341,402784.29308015323,200468.84932041288,121.35,243.43
398342,402785.29308015323,200468.84932041288,121.24,73.64
398343,402786.29308015323,200468.84932041288,120.87,68.86
398344,402787.29308015323,200468.84932041288,120.5,66.49
398345,402788.29308015323,200468.84932041288,120.11,66.15
398346,402789.29308015323,200468.84932041288,119.73,68.53
398347,402790.29308015323,200468.84932041288,119.32,68.73
398348,402791.29308015323,200468.84932041288,118.96,61.74
398349,402792.29308015323,200468.84932041288,118.54,76.35
398335,402778.29308015323,200468.84932041288,119.14,241.45
398336,402779.29308015323,200468.84932041288,119.63,252.45
398337,402780.29308015323,200468.84932041288,119.92,248.53
398338,402781.29308015323,200468.84932041288,120.21,250.27
398339,402782.29308015323,200468.84932041288,120.62,250.78
398340,402783.29308015323,200468.84932041288,120.99,249.64
398808,402793.29308015323,200467.84932041288,115.09,73.91
398800,402785.29308015323,200467.84932041288,121.34,69.15
398801,402786.29308015323,200467.84932041288,121.04,73.15
398802,402787.29308015323,200467.84932041288,120.65,73.63
398803,402788.29308015323,200467.84932041288,120.28,71.33
399256,402785.29308015323,200466.84932041288,121.4,270.0
399264,402793.29308015323,200466.84932041288,117.86,67.95
399265,402794.29308015323,200466.84932041288,114.55,73.89
399257,402786.29308015323,200466.84932041288,121.13,70.61
399258,402787.29308015323,200466.84932041288,120.68,67.64
399259,402788.29308015323,200466.84932041288,120.38,66.56
399260,402789.29308015323,200466.84932041288,120.0,68.3
399261,402790.29308015323,200466.84932041288,119.63,70.65
399262,402791.29308015323,200466.84932041288,119.27,74.74
399263,402792.29308015323,200466.84932041288,118.91,61.9
399722,402794.29308015323,200465.84932041288,114.11,76.29
399714,402786.29308015323,200465.84932041288,121.32,73.69
399715,402787.29308015323,200465.84932041288,120.97,66.15
399716,402788.29308015323,200465.84932041288,120.59,63.51
399717,402789.29308015323,200465.84932041288,120.21,64.51
399718,402790.29308015323,200465.84932041288,119.83,65.53
399719,402791.29308015323,200465.84932041288,119.39,67.67
399720,402792.29308015323,200465.84932041288,119.0,61.91
399721,402793.29308015323,200465.84932041288,118.68,76.78
399707,402779.29308015323,200465.84932041288,119.12,242.37
